Year,Round,Institute,Academic Program Name,Quota,Seat Type,Gender,Opening Rank,Closing Rank,college_id,branch_id
2024,5,Indian Institute of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Gender-Neutral,262P,262P,67d46f0d7ee10606e96d055e,67d46d45e89b5e36d438ab5c
2024,5,Indian Institute of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,1013,1261,67d46f0d7ee10606e96d055e,67d46d45e89b5e36d438ab5c
2024,5,Indian Institute of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),2194,2249,67d46f0d7ee10606e96d055e,67d46d45e89b5e36d438ab5c
2024,5,Indian Institute of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,2167,2876,67d46f0d7ee10606e96d055e,67d46d45e89b5e36d438ab5c
2024,5,Indian Institute of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),5899,6611,67d46f0d7ee10606e96d055e,67d46d45e89b5e36d438ab5c
2024,5,Indian Institute of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,1105,1762,67d46f0d7ee10606e96d055e,67d46d45e89b5e36d438ab5c
2024,5,Indian Institute of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),2081,2081,67d46f0d7ee10606e96d055e,67d46d45e89b5e36d438ab5c
2024,5,Indian Institute of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,667,792,67d46f0d7ee10606e96d055e,67d46d45e89b5e36d438ab5c
2024,5,Indian Institute of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),1179,1179,67d46f0d7ee10606e96d055e,67d46d45e89b5e36d438ab5c
2024,5,Indian Institute of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,3944,5157,67d46f0d7ee10606e96d055e,67d46d4de89b5e36d438ac15
